Bank,Countries,Sweden - fairfinanceguide.se,Netherlands - https://eerlijkegeldwijzer.nl/bankwijzer/,Japan - https://fairfinance.jp/,Norway - https://etiskbankguide.no/,Brazil - https://guiadosbancosresponsaveis.org.br/,Belgium - https://bankwijzer.be/nl,Indonesia - https://responsibank.id/,Germany - https://www.fairfinanceguide.de/,Thailand - https://fairfinancethailand.org/,India - https://fairfinanceindia.org/media/495381/fair-finance-india-report_1311_final.pdf
Bank of India,India,,,,,,,,,,0
Federal Bank,India,,,,,,,,,,0
HDFC Bank,India,,,,,,,,,,0
IOB,India,,,,,,,,,,0
PNB,India,,,,,,,,,,0
SBI,India,,,,,,,,,,0
Yes Bank,India,,,,,,,,,,0
IDFC Bank,India,,,,,,,,,,6
Small and Medium Enterprise Development Bank of Thailand,Thailand,,,,,,,,,8.97,
Government Housing Bank,Thailand,,,,,,,,,11.05,
Government Savings Bank,Thailand,,,,,,,,,15.36,
TISCO Bank,Thailand,,,,,,,,,15.86,
Kiatnakin Phatra Bank,Thailand,,,,,,,,,16.06,
Bank of Ayudhya,Thailand,,,,,,,,,16.87,
Kasikornbank,Thailand,,,,,,,,,20.6,
Siam Commercial Bank,Thailand,,,,,,,,,21.15,
Bangkok Bank,Thailand,,,,,,,,,21.82,
Bank of Agriculture and Agricultural Cooperatives,Thailand,,,,,,,,,22.07,
Krungthai Bank,Thailand,,,,,,,,,22.4,
TMB Bank (TMB),Thailand,,,,,,,,,38.86,
Stadtsparkasse Düsseldorf,Germany,,,,,,,,17,,
BayernLB,Germany,,,,,,,,27,,
DZ Bank,Germany,,,,,,,,31,,
HypoVereinsbank,Germany,,,,,,,,31,,
Deutsche Bank,"Belgium, Germany",,,,,,33,,35,,
COMMERZBANK,Germany,,,,,,,,39,,
DKB,Germany,,,,,,,,44,,
Deutsche Apotheker-und Ärztebank,Germany,,,,,,,,46,,
Sparkasse KöInBonn,Germany,,,,,,,,52,,
LBBW,Germany,,,,,,,,53,,
ING,"Netherlands, Belgium, Germany",,55,,,,49,,55,,
Pax-Bank,Germany,,,,,,,,80,,
KD-BANK,Germany,,,,,,,,81,,
Triodos Bank,"Netherlands, Germany",,95,,,,85,,88,,
Ethik Bank,Germany,,,,,,,,94,,
GLS Bank,Germany,,,,,,,,95,,
Permata Bank,Indonesia,,,,,,,3.72,,,
CIMB NIAGA,Indonesia,,,,,,,7.22,,,
bank bjb,Indonesia,,,,,,,7.72,,,
Maybank,Indonesia,,,,,,,8.61,,,
Mandiri Bank (mandiri),Indonesia,,,,,,,9.11,,,
Danamon,Indonesia,,,,,,,9.39,,,
BNI,Indonesia,,,,,,,10,,,
BCA,Indonesia,,,,,,,10.44,,,
BANK BRI,Indonesia,,,,,,,10.83,,,
DBS,Indonesia,,,,,,,31.89,,,
HSBC,Indonesia,,,,,,,48.78,,,
BNP PARIBAS ,Belgium,,,,,,38,,,,
Belfius,Belgium,,,,,,39,,,,
KBC,Belgium,,,,,,46,,,,
Van Lanschot,"Netherlands, Belgium",,45,,,,59,,,,
Argenta,Belgium,,,,,,61,,,,
Vdk Bank,Belgium,,,,,,62,,,,
Safra,Brazil,,,,,23,,,,,
BV,Brazil,,,,,25,,,,,
BTG pactual,Brazil,,,,,26,,,,,
bradesco,Brazil,,,,,33,,,,,
Federal Savings Bank (CAIXA),Brazil,,,,,33,,,,,
Bank of Brazil (BANCO DO BRASIL),Brazil,,,,,35,,,,,
Itaú,Brazil,,,,,35,,,,,
Santander Brazil (Santander),Brazil,,,,,38,,,,,
BNDES,Brazil,,,,,43,,,,,
Danske Bank,"Sweden, Norway",56,,,60,,,,,,
Nordea,"Sweden, Norway",60,,,61,,,,,,
Sbanken-Handelsbanken,Norway,,,,68,,,,,,
SpareBank 1 SMN,Norway,,,,66,,,,,,
SpareBank 1 Nord-Norge,Norway,,,,70,,,,,,
KLP,Norway,,,,74,,,,,,
DNB,Norway,,,,75,,,,,,
Sandnes Sparebank,Norway,,,,75,,,,,,
SpareBank 1 SR-Bank,Norway,,,,77,,,,,,
Sparebanken Vest,Norway,,,,83,,,,,,
SpareBank 1 Ostlandet,Norway,,,,86,,,,,,
Storebrand,Norway,,,,87,,,,,,
Cultura Bank ,Norway,,,,98,,,,,,
Japan Post Bank,Japan,,,15,,,,,,,
Resona,Japan,,,31,,,,,,,
Sumitomo Mitsui,Japan,,,44,,,,,,,
Mizuho Bank,Japan,,,52,,,,,,,
Sumitomo Mitsui Trust,Japan,,,52,,,,,,,
Mitsubishi UFJ,Japan,,,53,,,,,,,
Norinchukin Bank,Japan,,,56,,,,,,,
Rabobank,Netherlands,,60,,,,,,,,
ABN Amro,Netherlands,,65,,,,,,,,
bunq,Netherlands,,65,,,,,,,,
NIBC,Netherlands,,70,,,,,,,,
De Volksbank,Netherlands,,95,,,,,,,,
seb,Sweden,53,,,,,,,,,
Länsförsäkringars,Sweden,54,,,,,,,,,
Skandia,Sweden,55,,,,,,,,,
Handesbanken,Sweden,59,,,,,,,,,
Swedenbank,Sweden,68,,,,,,,,,
JAK Medlemsbank,Sweden,97,,,,,,,,,
Ekobanken,Sweden,99,,,,,,,,,
